Saida Sigla,Saida Nome Aeroporto,Chegada,Chegada Nome Aeroporto,Distancia (Km),Airline,ModelosAvioes
SIN,Singapore Changi Airport,BOM,Chhatrapati Shivaji Maharaj International Airport,3926,Air India-Singapore Airlines-Vistara-IndiGo,32N-359-388-321-32Q-32N
SIN,Singapore Changi Airport,FRA,Frankfurt Airport,10292,Singapore Airlines-Lufthansa,B77W-77W-B748-74H-A359-359
SIN,Singapore Changi Airport,MUC,Munich Airport,10070,Singapore Airlines-Lufthansa,A359-359
SIN,Singapore Changi Airport,CDG,Charles de Gaulle Airport,10736,Air France-Singapore Airlines,359-B77W-77W-A359
SIN,Singapore Changi Airport,SYD,Sydney Airport,6300,Qantas-Scoot-British Airways-Singapore Airlines-Emirates,388-B789-789-332-333-77W-A388-A359-359-77X-74Y-74F
JED,King Abdulaziz International Airport,DOH,Hamad International Airport,1332,Saudia-Flynas-Qatar Airways,320-A320-A20N-32N-A359-359-789-A333-77W-788-77L
JED,King Abdulaziz International Airport,MNL,Ninoy Aquino International Airport,8605,Saudia,789
JED,King Abdulaziz International Airport,AMS,Amsterdam Airport Schiphol,4501,Saudia,789-74Y-77F-787
JED,King Abdulaziz International Airport,FCO,Leonardo da Vinci–Fiumicino Airport,3366,Saudia-Wizz Air,A320-320-32Q
JED,King Abdulaziz International Airport,CGK,Soekarno–Hatta International Airport,7980,Lion Air-Garuda Indonesia-Saudia,330-33-339-A339-773-B77W-777
JED,King Abdulaziz International Airport,DEL,Indira Gandhi International Airport,3884,IndiGo-Air India-Saudia,32Q-321-32N-773
JED,King Abdulaziz International Airport,BOM,Chhatrapati Shivaji Maharaj International Airport,3523,IndiGo-SpiceJet-Air India-Air India xpress-Saudia-Vistara,A21N-32Q-321-7M8-A20N-32N-738-333-320
JED,King Abdulaziz International Airport,FRA,Frankfurt Airport,4137,Saudia,A21N-321
JED,King Abdulaziz International Airport,MUC,Munich Airport,3837,Saudia,A320-320
JED,King Abdulaziz International Airport,CDG,Charles de Gaulle Airport,4432,Saudia,B789-789
DOH,Hamad International Airport,MNL,Ninoy Aquino International Airport,7291,Philippine Airlines-Qatar Airways,333-77W
DOH,Hamad International Airport,AMS,Amsterdam Airport Schiphol,4929,Qatar Airways,B77W-77W-77X-B77L
DOH,Hamad International Airport,HND,Tokyo Haneda Airport,8264,Qatar Airways,77W
DOH,Hamad International Airport,FCO,Leonardo da Vinci–Fiumicino Airport,4042,Qatar Airways,B77W-789-A359-359-351-788
DOH,Hamad International Airport,CGK,Soekarno–Hatta International Airport,6901,Qatar Airways,777-77W-359-B77W
DOH,Hamad International Airport,DEL,Indira Gandhi International Airport,2552,Air India-Qatar Airways-IndiGo,321-332-359-32N-77X
DOH,Hamad International Airport,BOM,Chhatrapati Shivaji Maharaj International Airport,2294,IndiGo-Air India-Qatar Airways,32Q-321-32N-77W-77X
DOH,Hamad International Airport,FRA,Frankfurt Airport,4594,Qatar Airways,B77W-351-77W-B788-788-B77L-77X-B744-74Y
DOH,Hamad International Airport,MUC,Munich Airport,4307,Qatar Airways,A359-359-77X
DOH,Hamad International Airport,CDG,Charles de Gaulle Airport,4974,Qatar Airways,A359-77W-359-351-B77W-77X-74Y-B77L
DOH,Hamad International Airport,SYD,Sydney Airport,12389,Qatar Airways,A388-388-77X
DOH,Hamad International Airport,GRU,São Paulo/Guarulhos International Airport,11871,Qatar Airways,B77W-77L-77W-B77L
MNL,Ninoy Aquino International Airport,HND,Tokyo Haneda Airport,2999,Jet Linx Aviation-All Nippon Airways-United Airlines,788-789-321
MNL,Ninoy Aquino International Airport,CGK,Soekarno–Hatta International Airport,2791,Cebu Pacific-Philippine Airlines,32N-321
AMS,Amsterdam Airport Schiphol,MEX,Mexico City International Airport,9217,Aeromexico-KLM,B788-788-B789-789
AMS,Amsterdam Airport Schiphol,FCO,Leonardo da Vinci–Fiumicino Airport,1298,ITA Airways,A20N-32N-A320-320-32S-319-B738-73J-73H
AMS,Amsterdam Airport Schiphol,CGK,Soekarno–Hatta International Airport,11366,Garuda Indonesia,77W-777
AMS,Amsterdam Airport Schiphol,DEL,Indira Gandhi International Airport,6371,Air India-KLM,788-781
AMS,Amsterdam Airport Schiphol,BOM,Chhatrapati Shivaji Maharaj International Airport,6867,KLM-China Airlines-Singapore Airlines,333-74Y-332
AMS,Amsterdam Airport Schiphol,FRA,Frankfurt Airport,366,Korean Air-Lufthansa-Cathay Pacific-Emirates-KLM-LATAM Cargo,74N-A320-32N-320-32A-A321-321-CRJ9-CR9-A319-319-E190-E75-E90-E295-E7W-76F
AMS,Amsterdam Airport Schiphol,MUC,Munich Airport,665,KLM-Lufthansa,E75L-295-73H-E190-E90-B737-73W-CR9-CRJ9-A320-32A-A319-319
AMS,Amsterdam Airport Schiphol,CDG,Charles de Gaulle Airport,399,Air France-KLM,320-32A-223-A321-321-318-BCS3-223-319-A319-B738-73H-7S7-73J
AMS,Amsterdam Airport Schiphol,ORY,Orly Airport,433,Transavia,73H
AMS,Amsterdam Airport Schiphol,BOG,El Dorado International Airport,8850,KLM,B789-789
AMS,Amsterdam Airport Schiphol,GRU,São Paulo/Guarulhos International Airport,9785,KLM,B77W-77W
AMS,Amsterdam Airport Schiphol,YYZ,Toronto Pearson International Airport,5996,Air Canada-KLM-Air Transat,77L-333-772-77W-781-789-32Q
MEX,Mexico City International Airport,CUN,Cancún International Airport,1286,Aeromexico-Turkish Airlines-Volaris-VivaAerobus,B37M-7M9-B38M-7M8-7S8-7M7-B37M-B738-738-789-77W-B773-A21N-32N-32Q-A320-321-A321-32B
MEX,Mexico City International Airport,FCO,Leonardo da Vinci–Fiumicino Airport,10234,Aeromexico,B788-788
MEX,Mexico City International Airport,FRA,Frankfurt Airport,9561,Lufthansa,B748-748
MEX,Mexico City International Airport,MUC,Munich Airport,9856,Lufthansa,A359-359
MEX,Mexico City International Airport,CDG,Charles de Gaulle Airport,9210,Aeromexico-Air France,B789-789-B77W-77W
MEX,Mexico City International Airport,BOG,El Dorado International Airport,3163,Avianca-Aeromexico-VivaAerobus-Volaris-Ethiopian Airlines-mas,A320-320-A20N-B38M-7M8-32N-777-77X
MEX,Mexico City International Airport,YYZ,Toronto Pearson International Airport,3251,Air Canada-Aeromexico,B38M-7M8-7M9
MEX,Mexico City International Airport,GRU,São Paulo/Guarulhos International Airport,7441,Aeromexico-LATAM Airlines,B788-789-B763-763
CUN,Cancún International Airport,FCO,Leonardo da Vinci–Fiumicino Airport,9194,Neos,787
CUN,Cancún International Airport,FRA,Frankfurt Airport,8615,Discover Airlines-Condor,332-333-A339-339
CUN,Cancún International Airport,CDG,Charles de Gaulle Airport,8228,Air France,B772-772
CUN,Cancún International Airport,BOG,El Dorado International Airport,2281,Avianca-VivaAerobus-Volaris-Wingo,A320-320-A20N-32N-738
CUN,Cancún International Airport,YYZ,Toronto Pearson International Airport,2609,jetlines-Air Transat-Sunwing Airlines-Swoop-Air Canada-WestJet,A320-32A-321-73H-7S8-321-320-A321-7M8-73W
HND,Tokyo Haneda Airport,FCO,Leonardo da Vinci–Fiumicino Airport,9903,ITA Airways,A359-359
HND,Tokyo Haneda Airport,CGK,Soekarno–Hatta International Airport,5790,Garuda Indonesia-All Nippon Airways,333-789-788
HND,Tokyo Haneda Airport,DEL,Indira Gandhi International Airport,5866,Jet Linx Aviation-All Nippon Airways,789
HND,Tokyo Haneda Airport,FRA,Frankfurt Airport,9372,Lufthansa-All Nippon Airways,B748-74H-B789-789
HND,Tokyo Haneda Airport,MUC,Munich Airport,9369,Lufthansa-All Nippon Airways,A359-359-B789-789
HND,Tokyo Haneda Airport,CDG,Charles de Gaulle Airport,9717,Jet Linx Aviation-Air France-All Nippon Airways,B77W-773-77W-789
HND,Tokyo Haneda Airport,YYZ,Toronto Pearson International Airport,10357,Air Canada,788
HND,Tokyo Haneda Airport,SYD,Sydney Airport,7827,Jet Linx Aviation-Qantas-All Nippon Airways,789-333
FCO,Leonardo da Vinci–Fiumicino Airport,DEL,Indira Gandhi International Airport,3427,Iran Air,313
FCO,Leonardo da Vinci–Fiumicino Airport,FRA,Frankfurt Airport,960,ITA Airways-Lufthansa,319-320-A320-32S-320-A321-321-32A-32Q-A20N
FCO,Leonardo da Vinci–Fiumicino Airport,MUC,Munich Airport,730,ITA Airways-Lufthansa,A319-319-320-32S-A321-321-32V-32A-32N
FCO,Leonardo da Vinci–Fiumicino Airport,CDG,Charles de Gaulle Airport,1102,ITA Airways-ASL Airlines Belgium-Air France,A20N-32N-A319-319-320-73K-A321-321-BCS3-223-32A
FCO,Leonardo da Vinci–Fiumicino Airport,ORY,Orly Airport,1090,Transavia France-easyJet-Vueling-Wizz Air,73H-B738-A320-320-32B-32Q-A21N
FCO,Leonardo da Vinci–Fiumicino Airport,YYZ,Toronto Pearson International Airport,7094,Air Canada-Air Transat,77W-332-333
FCO,Leonardo da Vinci–Fiumicino Airport,GRU,São Paulo/Guarulhos International Airport,9444,ITA Airways-LATAM Airlines,A332-339-330-773
CGK,Soekarno–Hatta International Airport,BOM,Chhatrapati Shivaji Maharaj International Airport,4648,IndiGo,32N-320
CGK,Soekarno–Hatta International Airport,SYD,Sydney Airport,5525,Qantas-Garuda Indonesia,332-333
DEL,Indira Gandhi International Airport,BOM,Chhatrapati Shivaji Maharaj International Airport,1140,IndiGo-Air India-Bluebird Airways-Go First-Spicejet-Vistara-Styarlight Airlines,32Q-321-77W-320-32N-319-77L-757-75C-32A-737-7M8-32Q
DEL,Indira Gandhi International Airport,FRA,Frankfurt Airport,6128,Cathay Pacific-Vistara-Air India-Lufthansa,74N-B789-789-B788-788-B748-744
DEL,Indira Gandhi International Airport,MUC,Munich Airport,5906,Lufthansa,A359-359
DEL,Indira Gandhi International Airport,CDG,Charles de Gaulle Airport,6572,Cathay Pacific-Vistara-Air France-Air India,74N-B789-789-A332-332-B788-788
DEL,Indira Gandhi International Airport,YYZ,Toronto Pearson International Airport,11652,Air Canada-Air India,B77L-777-788-77W
DEL,Indira Gandhi International Airport,SYD,Sydney Airport,10447,Air India,788
BOM,Chhatrapati Shivaji Maharaj International Airport,FRA,Frankfurt Airport,6577,Cathay Pacific-Air Antiller-Lufthansa,B748-74N-B77L-A343-343
BOM,Chhatrapati Shivaji Maharaj International Airport,MUC,Munich Airport,6319,Lufthansa,A359-359
BOM,Chhatrapati Shivaji Maharaj International Airport,CDG,Charles de Gaulle Airport,7001,Air France-FedEx,B77W-77W-A332-B77L
FRA,Frankfurt Airport,MUC,Munich Airport,301,Lufthansa-Mango,A320-321-32A-320-E190-320-32N-CR9-A321-32Q-LJ55
FRA,Frankfurt Airport,CDG,Charles de Gaulle Airport,448,Cathay Pacific-Air France-Lufthansa,74N-E190-E90-E70-E170-A320-32A-320-A319-321
FRA,Frankfurt Airport,BOG,El Dorado International Airport,9096,Lufthansa,A346-346
FRA,Frankfurt Airport,YYZ,Toronto Pearson International Airport,6349,Air Canada-Lufthansa-Condor,789-788-744-747-763-76F-332-339
FRA,Frankfurt Airport,GRU,São Paulo/Guarulhos International Airport,9808,Lufthansa-LATAM Airlines,74H-B77W-773-77X
MUC,Munich Airport,CDG,Charles de Gaulle Airport,682,ASL Airlines France-Air France-Lufthansa,73K-A318-223-318-BCS3-32A-320-A319-319-A321-E90-CRJ9-32A-A320
MUC,Munich Airport,ORY,Orly Airport,694,Air Dolomiti,E195-E95
MUC,Munich Airport,YYZ,Toronto Pearson International Airport,6648,Air Canada-Lufthansa,333-359
CDG,Charles de Gaulle Airport,ORY,Orly Airport,35,Transavia France,A320
CDG,Charles de Gaulle Airport,BOG,El Dorado International Airport,8654,Air France,A359-359
CDG,Charles de Gaulle Airport,YYZ,Toronto Pearson International Airport,6027,Air France-Air Canada-Air Transat,77W-772-B789-789-32Q-332
CDG,Charles de Gaulle Airport,GRU,São Paulo/Guarulhos International Airport,9415,Air France-LATAM Airlines,A359-359-77W-B788-789-788
BOG,El Dorado International Airport,YYZ,Toronto Pearson International Airport,4340,Avianca-LATAM Airlines,788-320-32N-A20N
BOG,El Dorado International Airport,GRU,São Paulo/Guarulhos International Airport,4372,Air Canada-Avianca,333-A20N-32N-320
YYZ,Toronto Pearson International Airport,GRU,São Paulo/Guarulhos International Airport,8203,Air Canada,788-789
